Table 2.1. Personal Income and Its Disposition
Table 2.1. Personal Income and Its Disposition
"Last Revised on: September 26, 2024 - Next Release Date October 30, 2024"
Line,,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,Personal income,21557.4,21853.0,22299.8,22645.5,22981.2,23288.8,23532.4,23807.8,24344.2,24659.9
2,"    Compensation of employees",13174.2,13287.8,13604.6,13680.3,13883.4,14084.6,14311.4,14481.2,14823.7,15043.9
3,"        Wages and salaries",10892.8,10995.9,11278.9,11325.0,11480.7,11641.0,11824.0,11955.3,12251.0,12434.8
4,"            Private industries",9298.0,9387.3,9644.7,9665.9,9792.9,9929.3,10073.0,10174.7,10434.7,10591.6
5,"            Government",1594.8,1608.6,1634.2,1659.1,1687.8,1711.7,1751.0,1780.7,1816.2,1843.3
6,"        Supplements to wages and salaries",2281.5,2291.9,2325.7,2355.3,2402.7,2443.7,2487.5,2525.9,2572.8,2609.0
7,"            Employer contributions for employee pension and insurance funds1",1537.0,1537.7,1548.4,1570.0,1602.1,1628.3,1657.9,1687.4,1722.7,1750.3
8,"            Employer contributions for government social insurance",744.5,754.2,777.3,785.3,800.7,815.4,829.6,838.5,850.1,858.8
9,"    Proprietors' income with inventory valuation and capital consumption adjustments",1833.3,1850.1,1895.3,1915.5,1934.7,1936.6,1954.6,1970.1,1972.1,2002.3
10,"        Farm",81.2,98.1,100.5,104.0,92.7,76.0,66.2,50.2,38.5,41.1
11,"        Nonfarm",1752.1,1752.0,1794.9,1811.5,1842.0,1860.6,1888.3,1920.0,1933.6,1961.2
12,"    Rental income of persons with capital consumption adjustment",814.3,858.2,889.5,919.1,963.6,984.1,995.0,1013.6,1046.1,1053.4
13,"    Personal income receipts on assets",3333.6,3424.9,3509.5,3628.2,3729.9,3806.4,3836.2,3919.1,3938.9,3950.2
14,"        Personal interest income",1526.6,1595.9,1663.7,1753.3,1823.3,1870.6,1908.7,1965.3,1951.0,1966.2
15,"        Personal dividend income",1807.0,1828.9,1845.8,1874.9,1906.6,1935.8,1927.5,1953.8,1988.0,1984.0
16,"    Personal current transfer receipts",4062.3,4115.2,4130.9,4248.3,4245.6,4281.6,4268.3,4276.5,4446.1,4512.3
17,"        Government social benefits to persons",3944.5,3986.8,4002.9,4120.9,4121.6,4160.2,4147.5,4156.5,4314.6,4380.1
18,"            Social security2",1198.5,1207.2,1214.8,1225.6,1339.9,1353.3,1360.7,1374.0,1426.5,1439.7
19,"            Medicare3",917.6,926.6,937.4,958.5,981.1,1001.8,1019.9,1035.3,1049.2,1067.1
20,"            Medicaid",791.9,819.2,819.0,827.5,877.6,911.6,867.2,856.2,904.8,924.7
21,"            Unemployment insurance",24.5,21.7,23.1,25.9,30.1,32.7,34.7,35.3,34.9,34.9
22,"            Veterans' benefits",160.3,165.2,171.1,178.3,186.4,193.9,200.8,206.7,211.7,216.7
23,"            Other",851.6,847.0,837.6,905.1,706.5,666.8,664.2,649.1,687.4,696.8
24,"        Other current transfer receipts, from business (net)",117.8,128.4,127.9,127.4,124.0,121.4,120.9,120.0,131.5,132.3
25,"    Less: Contributions for government social insurance, domestic",1660.3,1683.2,1729.9,1745.9,1776.0,1804.5,1833.2,1852.8,1882.9,1902.2
26,Less: Personal current taxes,3254.1,3297.4,3224.9,3203.3,2834.2,2828.4,2866.0,2894.3,2965.6,3020.9
27,Equals: Disposable personal income,18303.3,18555.6,19074.9,19442.3,20147.0,20460.4,20666.4,20913.5,21378.6,21638.9
28,Less: Personal outlays,17699.3,18154.6,18482.1,18775.6,19196.3,19427.3,19723.5,19971.3,20230.5,20507.5
29,"    Personal consumption expenditures",17175.1,17603.8,17876.2,18108.3,18506.2,18685.7,18929.0,19170.2,19424.8,19682.7
30,"    Personal interest payments4",280.1,299.0,351.2,407.5,430.4,480.4,529.5,532.2,534.4,551.7
31,"    Personal current transfer payments",244.1,251.9,254.7,259.9,259.7,261.2,265.0,268.9,271.4,273.1
32,"        To government",129.2,131.0,132.4,133.5,134.3,135.1,136.0,136.9,137.9,139.0
33,"        To the rest of the world (net)",114.9,121.0,122.3,126.3,125.4,126.1,129.0,132.0,133.5,134.1
34,Equals: Personal saving,604.1,401.0,592.7,666.6,950.7,1033.1,942.9,942.2,1148.1,1131.4
35,"    Personal saving as a percentage of disposable personal income",3.3,2.2,3.1,3.4,4.7,5.0,4.6,4.5,5.4,5.2
,Addenda:,,,,,,,,,,
